YearsSinceLastPromotion,JobSatisfaction,JobLevel,JobRole,YearsInCurrentRole,WorkLifeBalance,JobInvolvement,Gender,Department,RelationshipSatisfaction,YearsAtCompany,MonthlyIncome,TrainingTimesLastYear,MaritalStatus,EnvironmentSatisfaction,Age,HourlyRate,PerformanceRating,Attrition,DistanceFromHome,OverTime,NumCompaniesWorked
0,2,3,Assistant,4,3,3,Male,Finance,3,24,15402,25,Single,1,20,88,4,Yes,21,No,1
2,2,1,Analyst,2,2,3,Male,HR,3,7,8112,69,Divorced,1,54,46,1,No,32,Yes,2
0,1,4,Analyst,4,2,2,Female,IT,1,23,4580,25,Divorced,4,56,67,1,No,46,No,2
9,3,2,Assistant,11,2,1,Male,Finance,1,18,6226,27,Married,4,33,62,3,No,41,Yes,3
6,3,5,Manager,7,3,3,Male,HR,3,19,7590,75,Married,3,22,95,3,No,7,No,4
5,3,4,Analyst,1,1,1,Female,IT,4,16,19465,52,Married,1,20,15,4,No,22,No,3
7,3,1,Analyst,3,4,1,Female,Sales,2,22,6012,60,Divorced,2,24,44,4,No,34,No,1
3,3,4,Analyst,4,1,2,Female,Sales,4,3,8301,39,Married,4,45,23,4,No,49,Yes,3
5,3,4,Manager,7,4,2,Male,Marketing,1,25,6112,67,Divorced,3,33,47,2,No,32,No,3
2,1,1,Executive,3,3,2,Male,Sales,3,25,9588,87,Married,3,58,40,4,No,9,Yes,4
3,5,1,Manager,4,4,1,Female,Marketing,3,6,8381,14,Divorced,3,46,56,4,Yes,43,No,3
5,2,5,Executive,1,2,1,Female,Sales,2,1,17067,87,Married,2,28,88,2,No,33,No,3
4,2,1,Analyst,12,2,1,Male,Sales,1,1,5104,12,Married,4,34,56,3,No,6,Yes,1
1,2,1,Executive,1,2,2,Male,Sales,2,15,10726,66,Divorced,2,34,53,2,No,24,No,4
8,3,1,Executive,10,2,4,Female,Marketing,1,20,12790,90,Married,4,45,75,1,No,15,Yes,1
1,2,3,Executive,12,1,1,Female,Marketing,3,11,11770,44,Single,1,32,61,1,No,13,No,4
7,1,1,Executive,3,2,1,Female,Finance,3,10,12106,78,Divorced,1,51,56,4,No,14,No,2
4,3,1,Analyst,7,4,4,Female,HR,2,24,17006,25,Married,4,58,62,4,Yes,14,Yes,4
6,3,1,Assistant,13,3,2,Male,HR,3,3,3774,55,Divorced,4,51,66,4,No,10,Yes,3
5,1,5,Manager,11,2,2,Male,HR,3,4,3056,22,Married,2,23,47,2,No,27,No,1
1,5,4,Executive,6,1,4,Male,Sales,4,12,10226,38,Single,4,49,41,3,No,45,No,2
3,1,1,Analyst,5,2,1,Male,HR,2,27,3545,96,Married,2,56,57,2,No,39,No,4
8,1,1,Analyst,8,2,2,Female,Marketing,3,6,7906,20,Married,1,42,43,4,No,13,Yes,3
6,1,5,Analyst,11,1,4,Male,Finance,1,27,12605,13,Single,4,58,33,3,No,39,No,2
0,5,4,Analyst,8,3,1,Female,IT,1,25,9395,12,Divorced,2,34,96,1,No,12,Yes,1
3,2,5,Executive,4,1,2,Male,Finance,1,20,17501,31,Married,2,48,42,3,No,45,No,4
9,1,2,Manager,10,4,2,Male,HR,3,19,15275,11,Married,2,55,24,3,No,29,No,1
2,3,2,Analyst,6,1,3,Male,HR,1,26,6388,62,Single,4,32,81,2,No,12,Yes,2
0,2,2,Manager,12,4,4,Female,Marketing,1,26,13821,51,Divorced,2,51,30,3,No,40,No,3
4,2,1,Manager,1,2,1,Male,Finance,1,16,3571,73,Divorced,3,26,15,3,No,31,Yes,2
8,4,5,Manager,10,1,1,Female,Marketing,3,25,19109,21,Single,2,41,96,1,No,23,No,3
3,1,1,Assistant,14,2,2,Female,Marketing,4,23,6927,46,Single,4,47,18,3,No,45,Yes,3
1,2,2,Analyst,12,1,3,Male,IT,4,25,19731,24,Married,4,21,83,2,No,31,Yes,4
6,3,4,Analyst,10,4,1,Female,Marketing,4,27,7592,92,Single,4,25,99,1,No,19,Yes,2
7,5,4,Analyst,9,1,4,Male,Marketing,3,10,13691,70,Single,4,47,18,3,Yes,49,Yes,2
1,5,5,Manager,14,4,1,Female,IT,3,6,19599,34,Single,1,47,34,4,No,32,Yes,2
9,2,4,Analyst,5,2,1,Male,Sales,1,20,9613,92,Divorced,2,39,77,3,No,1,No,1
8,5,2,Analyst,14,1,4,Female,Sales,1,5,14092,79,Single,1,49,97,1,No,13,No,4
9,4,5,Manager,8,1,1,Female,IT,3,10,11477,71,Married,2,30,49,3,Yes,35,Yes,4
7,5,5,Analyst,10,2,4,Male,Marketing,4,12,11052,50,Married,4,47,59,1,No,46,No,3
3,5,2,Executive,10,1,1,Male,HR,2,18,6059,58,Married,3,44,71,1,No,9,Yes,1
3,5,2,Assistant,1,4,2,Male,Finance,3,3,3050,72,Single,1,58,38,2,No,13,No,1
4,3,2,Executive,14,1,2,Male,HR,2,5,8538,19,Divorced,4,52,34,3,No,35,Yes,3
0,4,2,Executive,4,2,3,Female,HR,3,29,4725,18,Single,1,20,42,4,No,8,Yes,3
6,4,5,Executive,13,1,1,Female,Marketing,1,3,18410,15,Single,4,46,52,1,No,44,No,4
3,5,4,Manager,2,3,3,Female,Finance,4,3,7566,61,Married,1,32,38,1,No,41,No,1
0,2,2,Analyst,2,1,4,Female,Finance,4,9,14495,28,Single,3,22,98,2,No,11,No,4
3,3,3,Executive,2,1,1,Male,Sales,4,4,10857,97,Divorced,1,58,38,2,No,35,No,3
3,2,5,Executive,2,1,4,Female,IT,1,20,13909,91,Married,2,25,84,2,No,18,Yes,1
0,1,1,Analyst,8,2,3,Male,Marketing,4,17,10826,33,Divorced,4,27,39,1,Yes,14,No,2
8,3,4,Manager,6,2,3,Female,Finance,1,28,16791,80,Divorced,4,46,95,4,No,43,Yes,4
7,5,5,Executive,9,4,1,Male,Marketing,3,7,7533,3,Divorced,1,28,95,1,No,2,No,3
8,3,2,Analyst,2,3,1,Male,Sales,3,29,18491,54,Single,4,56,83,2,No,48,No,2
6,3,3,Analyst,13,2,4,Male,HR,3,26,19907,51,Single,3,52,31,2,No,49,Yes,4
4,2,1,Assistant,1,3,2,Male,Finance,4,13,7601,97,Single,3,43,72,2,No,15,No,1
6,1,4,Executive,14,1,2,Male,Sales,3,25,13130,29,Single,2,34,87,2,Yes,40,Yes,2
1,3,2,Executive,8,1,1,Female,Marketing,4,28,4204,58,Married,3,51,34,1,No,48,Yes,4
9,1,5,Assistant,10,1,1,Male,Sales,3,24,7082,63,Single,2,51,16,2,Yes,23,No,4
6,1,5,Analyst,14,1,1,Female,Sales,1,12,6334,37,Married,4,43,97,4,No,15,Yes,2
3,2,4,Analyst,13,3,2,Female,Sales,4,18,3711,29,Divorced,1,31,23,4,No,45,No,1
4,2,3,Executive,3,4,4,Male,Sales,4,22,12104,94,Married,2,58,77,1,No,2,No,1
6,5,2,Executive,3,3,4,Female,Sales,3,26,8710,42,Single,4,21,97,2,No,21,Yes,4
1,5,4,Assistant,8,1,4,Female,Sales,2,26,12926,95,Married,3,22,82,3,No,23,Yes,3
4,3,4,Executive,5,4,2,Female,IT,1,15,18977,55,Single,3,56,20,3,No,29,Yes,2
1,5,5,Executive,8,4,2,Male,Marketing,1,5,13328,97,Single,1,36,25,1,No,31,Yes,1
9,2,4,Manager,2,1,2,Male,HR,1,24,3331,81,Married,1,21,35,2,No,22,No,1
5,5,1,Assistant,10,4,3,Male,Marketing,1,1,18790,5,Married,3,21,77,4,Yes,6,No,1
9,5,1,Analyst,9,2,1,Male,Finance,2,9,6834,2,Divorced,1,47,44,2,Yes,47,No,3
7,5,2,Executive,2,1,4,Female,Finance,4,9,19177,39,Divorced,4,42,96,4,Yes,12,No,3
6,1,4,Analyst,9,4,4,Female,Marketing,2,13,11899,77,Divorced,4,56,35,4,No,26,Yes,1
4,5,5,Executive,10,3,1,Female,Sales,1,11,10210,37,Divorced,1,51,37,4,Yes,10,Yes,2
2,2,2,Manager,6,4,2,Female,IT,4,28,8804,16,Divorced,3,52,75,4,No,12,No,3
3,1,3,Assistant,12,3,3,Female,HR,1,23,10733,50,Married,1,20,44,4,No,15,No,4
1,5,5,Assistant,12,2,1,Female,Sales,3,24,3252,26,Divorced,1,38,60,4,No,18,No,1
5,5,3,Analyst,5,1,1,Male,Marketing,2,29,12190,36,Married,3,21,74,4,No,5,Yes,3
7,2,2,Manager,7,4,3,Female,Marketing,4,9,17122,25,Divorced,2,45,32,2,No,15,No,1
7,3,1,Analyst,14,2,3,Female,IT,3,29,8827,77,Single,3,51,76,4,No,28,Yes,2
8,2,5,Manager,7,3,4,Female,IT,4,5,11484,59,Divorced,4,25,59,2,No,9,No,4
4,4,5,Executive,4,2,1,Male,Marketing,3,14,10552,99,Single,2,51,75,3,Yes,36,Yes,2
9,2,2,Executive,7,2,4,Female,Sales,3,27,17351,87,Married,2,23,73,1,No,17,No,3
5,3,5,Manager,3,3,3,Female,Sales,4,16,19420,20,Divorced,3,30,49,3,No,21,Yes,4
1,2,5,Executive,3,1,3,Male,Sales,1,2,4444,64,Married,1,36,36,3,No,27,Yes,2
9,1,2,Assistant,7,2,1,Female,HR,4,15,10793,61,Divorced,3,57,38,2,No,29,No,2
3,1,4,Manager,1,2,3,Male,HR,4,17,9677,41,Married,4,43,65,1,Yes,43,Yes,2
2,2,2,Manager,8,3,1,Male,Sales,2,5,10861,95,Divorced,4,24,79,1,Yes,42,No,1
8,1,5,Analyst,11,3,4,Female,Marketing,4,24,16268,62,Divorced,2,53,29,4,Yes,39,Yes,1
5,3,2,Manager,2,2,3,Female,IT,2,10,13634,74,Single,3,25,42,3,No,10,Yes,4
5,4,5,Analyst,1,4,2,Male,Finance,1,15,9420,57,Married,4,41,56,3,No,40,No,2
3,4,3,Manager,6,3,2,Female,IT,2,20,7378,80,Married,2,30,34,2,No,3,Yes,3
5,3,3,Assistant,4,1,1,Female,IT,4,4,3998,61,Married,2,35,57,4,No,4,No,2
0,5,1,Assistant,7,4,2,Male,Finance,2,4,7302,66,Married,4,52,94,1,No,49,Yes,2
8,5,2,Assistant,12,4,3,Male,Sales,3,24,10830,28,Married,3,28,83,3,No,34,No,4
2,4,2,Analyst,3,2,2,Female,IT,3,29,17898,18,Single,3,25,77,3,Yes,42,Yes,2
4,1,3,Analyst,11,1,3,Male,Finance,3,7,17054,96,Divorced,2,35,57,3,No,14,Yes,4
6,1,3,Executive,2,4,1,Female,Marketing,3,29,9735,4,Single,1,48,93,2,No,23,Yes,1
1,5,3,Analyst,12,3,1,Female,Marketing,1,27,3130,65,Married,4,22,16,2,No,31,Yes,4
3,4,1,Analyst,11,1,4,Female,Marketing,1,1,15423,8,Married,2,39,91,1,No,38,No,1
5,2,1,Assistant,4,1,4,Female,Sales,2,26,14609,40,Divorced,3,55,37,4,No,40,No,4
0,2,4,Manager,4,2,1,Male,IT,2,22,13409,24,Single,1,38,26,2,No,49,No,1
5,1,2,Analyst,11,4,3,Female,IT,2,20,4186,83,Divorced,2,45,60,1,Yes,3,Yes,4
4,3,1,Executive,4,3,4,Male,HR,1,2,7294,74,Divorced,4,22,47,3,No,13,No,2
1,5,5,Manager,3,4,1,Female,Marketing,1,19,11135,11,Single,3,38,58,1,No,19,No,4
5,1,2,Analyst,7,4,4,Female,Sales,2,4,14004,64,Divorced,1,39,39,1,No,34,No,2
4,3,4,Manager,5,3,3,Male,Finance,2,26,12709,87,Single,1,51,49,3,No,31,No,1
0,3,3,Manager,11,4,3,Female,Sales,2,23,19389,80,Single,2,26,49,3,No,3,No,3
5,5,4,Manager,4,1,3,Male,IT,3,1,5150,15,Married,4,52,79,2,No,6,Yes,4
6,3,2,Manager,5,2,4,Male,Marketing,2,1,17144,54,Divorced,4,59,57,3,No,49,Yes,4
8,3,3,Manager,7,2,3,Female,HR,1,3,15458,37,Married,3,58,82,3,No,47,Yes,2
1,5,4,Analyst,4,1,1,Female,Sales,2,18,8808,42,Divorced,2,37,76,4,No,47,No,3
5,4,4,Manager,12,4,2,Female,HR,1,3,10892,7,Divorced,2,59,45,3,No,27,No,2
5,2,2,Manager,13,4,2,Female,IT,4,3,8553,52,Married,3,20,42,4,No,6,No,3
0,4,1,Executive,14,2,1,Male,Finance,3,27,10154,60,Married,2,30,25,3,No,8,No,4
7,2,5,Executive,10,2,1,Female,Sales,2,13,10139,87,Married,2,47,46,2,Yes,32,No,3
4,2,4,Manager,5,3,3,Female,IT,2,1,18479,69,Single,1,44,80,3,No,13,No,2
1,5,5,Analyst,6,3,3,Female,Marketing,1,13,3177,45,Divorced,2,42,74,1,Yes,35,No,2
4,4,2,Executive,6,3,4,Female,Sales,2,22,18488,8,Single,4,50,65,1,Yes,2,No,2
3,5,2,Executive,12,3,4,Female,HR,4,24,13802,66,Divorced,3,49,73,3,No,33,No,1
6,4,1,Manager,12,2,3,Male,Sales,1,5,7513,99,Divorced,4,54,91,1,No,16,Yes,3
9,3,3,Analyst,7,4,4,Female,IT,2,17,11745,22,Single,1,26,31,2,Yes,29,No,4
7,1,5,Assistant,10,1,2,Male,IT,2,11,14581,30,Single,3,35,82,3,No,37,Yes,2
0,4,4,Analyst,13,2,3,Female,HR,3,10,10774,33,Divorced,2,45,52,3,No,44,No,3
0,4,3,Executive,3,1,2,Female,IT,2,27,19625,34,Married,1,21,78,2,No,10,Yes,3
7,3,5,Executive,12,1,4,Female,Sales,4,23,12571,47,Married,1,20,17,3,No,32,Yes,4
3,3,5,Executive,8,4,4,Male,HR,2,27,12788,80,Married,3,31,68,3,No,31,No,3
7,2,3,Executive,5,4,1,Female,IT,3,15,11028,20,Married,3,24,90,4,No,13,No,3
6,1,3,Executive,1,1,4,Male,IT,4,13,16749,66,Divorced,2,56,58,2,Yes,38,No,2
8,1,1,Manager,4,2,1,Male,Sales,3,10,16753,37,Married,2,51,96,1,No,16,Yes,4
6,1,4,Manager,11,1,1,Female,IT,4,9,13196,52,Married,4,28,44,3,No,26,No,3
3,4,4,Manager,4,4,1,Male,Sales,1,28,4300,34,Married,1,54,89,3,No,4,No,2
4,4,4,Executive,14,3,1,Female,Marketing,4,7,10923,97,Divorced,1,38,99,4,No,28,Yes,2
6,5,3,Manager,8,4,2,Female,Sales,1,25,9673,13,Single,4,35,68,3,No,15,Yes,4
1,2,1,Executive,13,4,3,Male,Finance,1,10,14976,79,Married,2,22,62,4,No,44,Yes,3
2,3,2,Analyst,10,2,1,Female,IT,3,9,7287,57,Divorced,4,39,49,4,No,38,Yes,3
2,3,1,Assistant,9,1,1,Female,Marketing,4,13,17384,67,Divorced,4,43,82,4,No,27,Yes,3
8,3,3,Analyst,3,1,4,Male,HR,1,16,9237,72,Married,2,52,40,4,No,28,Yes,2
1,5,1,Assistant,12,1,1,Male,Finance,2,2,6805,37,Single,3,43,86,1,No,24,No,4
3,5,3,Manager,11,3,2,Male,HR,1,8,5214,14,Single,3,30,70,2,No,27,No,4
7,4,5,Assistant,10,3,2,Male,Finance,4,28,19621,53,Single,3,27,90,2,No,23,Yes,1
0,5,5,Analyst,1,3,1,Male,Marketing,4,23,3732,64,Divorced,1,55,83,3,No,13,No,1
8,5,2,Analyst,11,3,1,Male,Marketing,4,28,17925,9,Married,1,57,94,2,Yes,4,Yes,2
5,3,5,Assistant,13,3,1,Female,Marketing,4,7,5824,10,Married,4,59,78,4,No,45,No,2
3,5,2,Analyst,13,4,3,Male,Finance,4,2,5454,94,Divorced,4,39,43,4,No,33,No,2
4,2,4,Manager,11,2,2,Male,Sales,3,1,15497,35,Married,1,54,92,1,No,31,No,1
6,5,3,Analyst,8,2,3,Female,HR,3,4,14575,97,Married,2,44,73,1,No,2,Yes,2
7,1,4,Assistant,9,4,3,Female,Sales,1,23,11168,56,Single,2,54,39,3,No,27,No,1
4,5,4,Manager,4,3,4,Male,Sales,2,6,5424,37,Married,4,44,86,2,No,22,No,1
6,4,2,Assistant,5,4,3,Male,IT,4,26,9183,80,Married,2,48,41,1,No,11,Yes,1
2,2,3,Executive,4,4,3,Female,HR,1,2,19469,67,Divorced,3,37,36,4,No,48,No,3
